claim,count,anti_trump,sentiment,left_leaning,right_leaning
"against federal layoffs at Haskell Indian Nations University, against the hiring freeze preventing faculty replacements, against the Bureau of Indian Educationâs restrictions on university leadership, against broken promises of job security for recently hired faculty, against barriers to volunteer support due to federal background check requirements, for federal recognition of treaty obligations to Indigenous education, for reemployment of terminated staff, for community-driven support solutions, for state and congressional representatives to intervene, for continued funding of Haskell Light and local food banks to aid affected employees and students",1,False,left,True,False
against deportations of undocumented migrants,1,False,left,True,False
"against Elon Muskâs influence in U.S. government, for transparency in federal leadership, against the elimination of USAID, for humanitarian aid and global credibility, against the misuse of sensitive government data, for congressional oversight on government agencies, against mass layoffs and federal worker buyouts, for protecting jobs and economic stability, against corporate control of government operations",1,False,left,True,False
support for immigrant communities,1,False,left,True,False
for Police Chief Ceaser Moore to give students answers,1,False,left,True,False
for accountability for UH police,1,False,left,True,False
against threats to democracy and constitutional protections,1,False,left,True,False
for protecting federal workers and civil servants,1,False,left,True,False
"against ICE enforcement at hospitals, schools, and places of worship, for protecting immigrant access to essential services, against fear-driven policies targeting immigrant communities, for maintaining public safety and trust in institutions, against Trumpâs rollback of sensitive location protections, for the passage of the Protecting Sensitive Locations Act, against intimidation that deters parents from sending children to school, for religious liberty and the sanctity of faith-based spaces",1,True,left,True,False
in solidarity with immigrants and undocumented people,1,False,left,True,False
"against the planned trash truck refueling station, for preserving neighborhood quality of life, against increased traffic and pollution in residential areas, for homes and green spaces over industrial expansion, against FCC Environmentalâs facility in West Seventh, for alternative locations for waste management operations, against zoning decisions made without community input, for a thorough zoning study and public hearing, against St. Paulâs fast-tracking of the facility",1,False,left,True,False
"against ICE presence on campus, for canceling ICE recruitment events, against university complicity with immigration enforcement, for protecting immigrant students and workers, against the university hosting DHS and ICE-affiliated agencies, for a formal apology from the administration",1,False,left,True,False
against Israeli prime minister Benjamin Netanyahu's leadership of genocide in Gaza,1,False,left,True,False
against freeze on funding for U.S. Environmental Protection Agency,1,False,left,True,False
"against Donald Trumpâs immigration policies, against Ron DeSantis' immigration policies, for supporting immigrant families, against ICE raids instilling fear in communities, for recognizing immigrants' contributions to local businesses, against labeling immigrants as criminals, for allowing immigrant families to live without fear",1,True,left,True,False
"against Trumpâs immigration policies, for standing up for immigrant families, against mass deportations, for keeping families together, against the fear and uncertainty facing undocumented students, for students using their voices to demand justice, against the dehumanization of immigrants, for recognizing the humanity of all people, against school staff attempting to suppress student activism, for the right to protest peacefully",1,True,left,True,False
against police presence at student government meetings as an intimidation tactic,1,False,left,True,False
against proposed new Quality of Life division for New York Police Department,1,False,left,True,False
in solidarity with the seven individuals charged with misdemeanors and felonies during a Gaza solidarity encampment,1,False,left,True,False
against anti-Black racism and police brutality,1,False,left,True,False
against the police shooting of Alejandro Campos Rios,1,False,left,True,False
against the genocide in Gaza,1,False,left,True,False
for the abolition of ICE,1,False,left,True,False
for police transparency and accountability,1,False,left,True,False
against the police shooting and killing of Titusville resident Tri-Marea Charles,1,False,left,True,False
for protection of immigrant rights,1,False,left,True,False
against the allowance of ICE on University of Texas- Austin campus,1,False,left,True,False
for protecting the LGBTQ-plus community,1,False,left,True,False
against dozens of city union worker layoffs,1,False,left,True,False
against deportations of immigrant students from University of Wisconsin Milwaukee,1,False,left,True,False
in support of immigrants,1,False,left,True,False
"for demanding justice, safety, and the right for all immigrants to live free from fear",1,False,left,True,False
against ICE's presence at University of Colorado Boulder career fair,1,False,left,True,False
"for discussing the history and impact of african-american protest music, for analyzing the symbolism in kendrick lamarâs super bowl performance, against performative activism that does not result in tangible change, against the nflâs removal of the âend racismâ message from the field, for fostering solidarity among marginalized communities in response to recent policies, for creating open spaces where students can discuss social justice without fear, for breaking down power dynamics between professors and students in discussions on race and activism",1,False,left,True,False
against U.S. invovlement in Gaza,1,False,left,True,False
"for engaging students in the BYUSA election process, for making informed voting decisions, for candidates fostering genuine connections with students, for showcasing student talent and campus involvement, for promoting service initiatives within the election campaign, for creating inclusive and welcoming campaign events, for encouraging student participation in campus leadership, for providing interactive and entertaining campaign experiences, for emphasizing the values of BYUSA through community engagement, for fostering a sense of fun and friendship within student government",1,False,left,True,False
against Israel's continuing attacks on Palestine and Lebanon,1,False,left,True,False
against ethnic cleansing and genocide in Gaza,1,False,left,True,False
against Israel's detention of Dr. Hussam Abu Safiya and other healthcare workers from Gaza,1,False,left,True,False
"against federal worker buyouts, for job security in public service, against mass terminations of government employees, for protecting labor rights in federal agencies, against Trump's executive order on worker dismissals, for AFGE's fight to protect government jobs, against dismantling of federal workforce, for solidarity among unions defending public employees, against cuts to essential government services, for fair treatment of probationary federal workers",1,True,left,True,False
against U.S. immigration policies,1,False,left,True,False
for justice for Michael Barrera and all victims of police violence,1,False,left,True,False
against ethnic cleansing in Palestine,1,False,left,True,False
against ICE raids and immigrant deportations against attacks on trans people,1,False,left,True,False
against the deportation of immigrants,1,False,left,True,False
for undergraduate workers' rights,1,False,left,True,False
in remembrance of Hind Rajab and all Palestinian children killed by Israel in Gaza,1,False,left,True,False
against police harassment of street vendors and homeless New Yorkers,1,False,left,True,False
for defunding police and increasing funding for social services,1,False,left,True,False
for voting rights,1,False,left,True,False
"against unfair labor conditions at Kaiser Permanente, for increased staffing to improve patient care, against excessive appointment wait times for mental health services, for equitable wages and benefits for Southern California mental health workers, against Kaiser's alleged understaffing that strains workers and patients, for equal retirement benefits for mental health workers, against Kaiser's refusal to negotiate until March, for fair labor practices and contract negotiations",1,False,left,True,False
for criminal justice reform,1,False,left,True,False
for state legislation to help protect immigrants against deportations,1,False,left,True,False
for justice for Timothy Glaze,1,False,left,True,False
for racial justice and equity in public education,1,False,left,True,False
for gender-affirming health care for transgender children,1,False,left,True,False
against ICE deportations and its effects on students,1,False,left,True,False
for safety for immigrant students and their families,1,False,left,True,False
against The New York Times newspaper's role in spreading misinformation and enabling genocide in Gaza,1,False,left,True,False
against anti-immigrant policies,1,False,left,True,False
for investigating anti-Palestinian bias in New York Times coverage,1,False,left,True,False
against President Trump's restrictions on diversity equity and inclusion policies,1,True,left,True,False
against state senator Jessica de la Cruz's support for President Trump's immigrant deportations,1,False,left,True,False
against unfair labor practices,1,False,left,True,False
for assistance for immigrant families living in homeless shelter,1,False,left,True,False
"against Israel's attacks in the West Bank, against genocide in Gaza",1,False,left,True,False
for Palestinian liberation~,1,False,left,True,False
in support of LGBTQ+ New Yorkers,1,False,left,True,False
against Israel's violations of ceasefire deal,1,False,left,True,False
against ICE raids and mass deportations,1,False,left,True,False
against University of North Carolina Chapel Hill chancellor Lee Roberts' stated intention to cooperate with ICE in detention and deportation of undocumented migrants on campus,1,False,left,True,False
for better working conditions for corrections officers at Sing Sing Correctional Facility and all others in NY,1,False,left,True,False
"against changes to CSUâs diversity, equity, inclusion, and accessibility policies",1,False,left,True,False
for union jobs,1,False,left,True,False
against President Trump's plan to take over Gaza while relocating residents to neighboring countries,1,True,left,True,False
for the protection of social services,1,False,left,True,False
against complicity in genocide in Gaza,1,False,left,True,False
against Arizona Senate Bill 1164 mandating that local law enforcement agencies enter into legal agreements codifying cooperation with ICE,1,False,left,True,False
against the mass firing of skilled federal workers,1,False,left,True,False
for better working conditions for corrections officers at Cayuga Correctional Facility and others in NY,1,False,left,True,False
"for 2 miles of protection around schools, churches, parks and hospitals prohibiting ICE from detaining anyone in that area",1,False,left,True,False
against the recent mass layoffs of federal workers,1,False,left,True,False
against federal immigration deportment policies,1,False,left,True,False
for amnesty for all eight students who were involved with the Palestine solidarity encampment at Bowdoin College,1,False,left,True,False
against President Trump's attacks on immigrants,1,True,left,True,False
for a larger meeting space for members of the Black Student Union,1,False,left,True,False
for increased wages and shift availability for fast food workers,1,False,left,True,False
against suspension of Students for Justice in Palestine at UCLA organization,1,False,left,True,False
against a New York real estate event promoting the sale of Palestinian property on settlements in the occupied West Bank,1,False,left,True,False
"against Idaho State University's decision to eliminate several diversity, equity and inclusion programs",1,False,left,True,False
"for fair pay for graduate student workers, for fair unionization process",1,False,left,True,False
against President Trump's attempts to defund public services,1,True,left,True,False
for funding for services such as education and healthcare,1,False,left,True,False
"for fair contracts for federal workers unions, including postal workers and veterans affairs workers",1,False,left,True,False
for supporting immigrant students and their families,1,False,left,True,False
"for higher wages for university of iowa health care workers, for better working conditions, including improvements to older and unsafe units, for increased respect and appreciation for staff who feel undervalued, against hiring temporary travel nurses at high costs instead of investing in permanent staff, for meaningful wage increases, citing a long period without substantial raises, for better physical and mental working conditions for healthcare workers, for university and regents representatives to acknowledge and act on workers' concerns, for a contract that improves conditions for workers, patients, and families",1,False,left,True,False
for higher pay for public-sector workers in Alaska,1,False,left,True,False
"against VA workforce cuts, for protecting veterans' healthcare access, against understaffing at VA medical centers, for job security for civil service workers, against layoffs impacting patient care, for prioritizing veterans' well-being over cost-saving measures, against rushed efficiency plans that hurt healthcare, for transparency in VA budget allocation, against delays in veterans' medical treatment, for congressional oversight of government efficiency initiatives, against corporate involvement in public healthcare decisions, for maintaining timely access to primary care physicians, against bureaucratic chaos affecting veterans' services, for fair labor practices in the federal workforce, against unjust terminations of VA employees, for accountability from the Department of Government Efficiency, against privatization of VA healthcare",1,False,left,True,False
"against local police acting as federal immigration agents, for public safety policies that build trust with immigrant communities, against policies that lead to fear and decreased crime reporting, for maintaining clear distinctions between civil and criminal law enforcement roles, against using county resources for federal immigration enforcement, for ensuring all residents feel safe accessing community services, against measures that discourage school attendance and social participation, for passing state laws that protect immigrant communities, against political stunts that harm public confidence in law enforcement, for policies that respect and honor immigrant contributions",1,False,left,True,False
in solidarity with missing and murdered Indigenous relatives and women,1,False,left,True,False
against the potential closure of Bay County's Social Security Office,1,False,left,True,False
for Tulane University to become a sanctuary campus for immigrant students,1,False,left,True,False
against President Trumpâs ethnic cleansing plans for Gaza,1,True,left,True,False
for stricter gun control legislation,1,False,left,True,False
for more state funding for homeless shelters and rehousing services,1,False,left,True,False
against suspensions and evictions of University of Chicago students who participated in Palestine solidarity protest,1,False,left,True,False
against occupation and ethnic cleansing in Palestine,1,False,left,True,False
for urgent climate action,1,False,left,True,False
for holding fossil fuel companies accountable for climate change,1,False,left,True,False
for action by Mayor Eric Adams and the New York City Council to protect immigrant New Yorkers from Donald Trump's planned mass deportations and family separations,1,False,left,True,False
in solidarity with Gaza,1,False,left,True,False
for reparations to Palestinians,1,False,left,True,False
against the moving of Milwaukee U.S. Immigrations and Customs facility to a larger building,1,False,left,True,False
against cuts to state healthcare budget,1,False,left,True,False
against closures of hospitals and healthcare clinics in Vermont,1,False,left,True,False
against potential deportations of immigrants in Saint Louis,1,False,left,True,False
or democracy,1,False,left,True,False
for access to resources for immigrants,1,False,left,True,False
against proposed repeal of city legislation establishing citizens police review board,1,False,left,True,False
for community oversight of police,1,False,left,True,False
in support of activist Thairie Ritchie who self-immolated at the Black Lives Matter mural in Santa Cruz on Jan. 20,1,False,left,True,False
in support of climate action,1,False,left,True,False
for protections for public services,1,False,left,True,False
for LGBTQ,1,False,left,True,False
for Federal workers,1,False,left,True,False
against mass deportation of immigrants,1,False,left,True,False
against layoffs of U.S. Forest Service and National Park Service employees,1,False,left,True,False
against layoffs of of CDC workers,1,False,left,True,False
against anti-immigrant bigotry,1,False,left,True,False
against President Donald Trumpâs proposal to resettle Palestinians in Gaza,1,False,left,True,False
against healthcare cuts,1,False,left,True,False
"against mass layoffs of federal employees, for job security in public service, against Elon Musk's role in government affairs, for congressional accountability over executive actions, against cuts to USAID and foreign aid programs, for transparency in government restructuring, against undermining constitutional democracy, for the protection of democratic institutions, against forced buyouts and arbitrary dismissals of civil servants, for responsible governance that upholds the rule of law, against Trump and Musk consolidating power, for ethical oversight of federal decision-making, against using DEI as a scapegoat for unrelated tragedies",1,True,left,True,False
"against the HALT Actâs limits on segregated confinement, for reversing prison reforms that allegedly endanger correction officers, for addressing staffing shortages in prisons, against mandatory 24-hour work shifts for correction officers, for Governor Hochul using emergency powers to suspend HALT temporarily, for improving safety conditions for both officers and incarcerated individuals, against poor working conditions and dangerous guard-to-inmate ratios, for better resources and staffing in state prisons, against violent assaults on correction officers, against inadequate medical care and commissary access for incarcerated individuals during the strike",1,False,left,True,False
"for justice and accountability for the nurse attacked at Palms West Hospital, for increased safety measures and protections for healthcare workers, for community solidarity and support for the victim and her family, for greater awareness of violence against nurses and hospital staff, against workplace violence in healthcare settings, against inadequate security measures for medical personnel",1,False,left,True,False
for justice for a murdered trans man,1,False,left,True,False
in remembrance of Palestinians killed in genocide in Gaza,1,False,left,True,False
in support of park worker layoffs,1,False,left,True,False
against park worker layoffs,1,False,left,True,False
against Mayor Daniel Lurie's motion to oust San Francisco Police Commissioner Max Carter-Oberstone,1,False,left,True,False
for police reform,1,False,left,True,False
against U.S. president Donald Trump and U.S. vice president J.D. Vance,1,False,left,True,False
against President Trump's effort to suspend the US's refugee resettlement program,1,True,left,True,False
for environmental sustanitability,1,False,left,True,False
for Trans rights,1,False,left,True,False
for Healthcare rights,1,False,left,True,False
against the Trump Administration's cuts to the National Park Service,1,False,left,True,False
"against the firing of at least 1,000 National Park Service employees",1,False,left,True,False
in support of Gov. Janet Mills following her response to President Trump's executive order barring transgender athletes from competing in girls' and women's sports,1,False,left,True,False
against speakers at a University of Maryland event about political negotiations in the Middle East in favor of Israel's military offensive in Gaza,1,False,left,True,False
for The Green New Deal for Colorado Schools and climate-related bills,1,False,left,True,False
against dismantling the post service,1,False,left,True,False
against possible plans by the Trump adminstration to privatize postal service,1,False,left,True,False
in support of the Latino and immigrant community,1,False,left,True,False
"in protest of ICE coming to California State University, Chico's career fair",1,False,left,True,False
in celebration of the restoral of LGBTQ+ housing at Florida State University,1,False,left,True,False
against Donald Trump's recent firings of federal employees at the Department of Health and Human Services,1,True,left,True,False
for public services,1,False,left,True,False
for saving democracy from tyranny and Oligarchy,1,False,left,True,False
in celebration of healthcare workers in Gaza,1,False,left,True,False
against immigration raids,1,False,left,True,False
for Gov. Kathy Hochul to remove Mayor Eric Adams from office,1,False,left,True,False
"against ICE presence in immigrant communities, for protecting immigrant rights and safety, against immigration raids that create fear and division, for standing in solidarity with immigrant communities, against federal immigration enforcement disrupting local communities, for students using their voices to oppose deportations, against policies that target and intimidate immigrant families, for ensuring all residents feel safe regardless of immigration status, against actions that create fear in schools and neighborhoods, for a community that welcomes and supports immigrants",1,False,left,True,False
for restroring abortion rights in Kentucky,1,False,left,True,False
"for fair wages for concierges, porters, and residential workers, arguing they are paid poverty wages despite maintaining luxury buildings, for affordable health benefits for building workers, citing unaffordable current plans, for allowing workers to earn enough to live in the city they serve, as jersey city has the second-highest rental prices in the u.s., against landlords charging high rent and excessive fees while underpaying essential workers, against the 380 housing code violations found at journal squared, including life safety threats, for stronger tenant protections against unfair rental fees and poor housing conditions, for greater accountability from luxury landlords like kre group to improve working and living conditions, for city and state officials supporting workers' rights, wages, and tenant protections",1,False,left,True,False
for women's reproductive rights,1,False,left,True,False
"against ICE raids that create fear in immigrant communities, for student activism in support of immigrant rights, against policies that target and disrupt immigrant families, for local communities standing together in solidarity, against federal enforcement actions that instill fear in schools and neighborhoods, for policies that ensure all students feel safe in their schools, against deportations that separate families, for advocating humane immigration policies",1,False,left,True,False
against alleged retaliation termination after the employees tried to unionize with SEIU,1,False,left,True,False
for foreign workers,1,False,left,True,False
against layoffs at U.S. Environmental Protection Agency's Midwest office,1,False,left,True,False
against proposed cuts to Medicaid and social services,1,False,left,True,False
against the Trump Administration's attempts to dismantle climate and health protections,1,False,left,True,False
for protecting democracy and fair elections,1,False,left,True,False
against pro-immigrants march,1,False,left,True,False
for justice for OpenAI engineer Suchir Balaji who died,1,False,left,True,False
"against Nick LaLotaâs refusal to hold an in-person town hall, against LaLotaâs dismissal of constituent concerns as scripted, against federal cuts to Long Island healthcare and education, against freezing of funds to the Northport VA and Long Island research institutions, against cuts to the Department of Education affecting disadvantaged and disabled children, for LaLota taking action to protect Medicaid for 715,000 people in the district, for ensuring funding for schools, hospitals, and public services, for political accountability and representation of constituent needs",1,False,left,True,False
"against U.S. involvement in Israelâs actions in Gaza, for Palestinian self-determination, against Trumpâs plan to take over Gaza, for honoring the ceasefire agreement, against leveraging foreign aid to pressure Jordan and Egypt, for stopping the ethnic cleansing of Palestinians, against continued attacks on displaced Palestinians, for recognizing Gazaâs history and the right of Palestinians to remain on their land, against destruction of Palestinian infrastructure and homes",1,True,left,True,False
for fair contract for Iowa postal workers,1,False,left,True,False
in support of Palestinian sovereignty,1,False,left,True,False
against President Trump's position to take control of Gaza,1,True,left,True,False
"against federal funding freezes and agency overhauls impacting agencies like the Department of Education, the Environmental Protection Agency, the Department of Veterans Affairs, and the National Institutes of Health",1,False,left,True,False
against ethnic cleansing in Gaza,1,False,left,True,False
for allowing transgender people to serve in the military,1,False,left,True,False
for ending bathroom restrictions on transgender people,1,False,left,True,False
for amnesty for queer immigrants,1,False,left,True,False
against immigrants,1,False,left,True,False
against President Trump's immigrant deportations and family separations,1,True,left,True,False
