Claim,Claim Count,Issue
against Donald Trump's agenda; against racism; against xenophobia; for economic justice; for Palestinian liberation; for arms embargo on Israel; for ending all U.S. aid to Israel,0,Gaza
against Donald Trump's agenda; against racism; against xenophobia; for economic justice; for Palestinian liberation; for arms embargo on Israel; for ending all U.S. aid to Israel,0,Racial Justice
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,Environment
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,Gaza
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,Immigration
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,Workers
against Donald Trump; for justice; for human rights; against racism; against homophobia and transphobia; for immigrants' rights,0,Racial Justice
against Donald Trump; for justice; for human rights; against racism; against homophobia and transphobia; for immigrants' rights,0,LGBTplus
against President Trump's inauguration; for immigrants' rights; for democracy; against genocide in Gaza; for climate justice; for freedom of speech; for workers' rights; for reproductive rights; in support of DEI,0,Immigration
against President Trump's inauguration; for immigrants' rights; for democracy; against genocide in Gaza; for climate justice; for freedom of speech; for workers' rights; for reproductive rights; in support of DEI,0,Environment
against President Trump's inauguration; for immigrants' rights; for democracy; against genocide in Gaza; for climate justice; for freedom of speech; for workers' rights; for reproductive rights; in support of DEI,0,Gaza
against President Trump's inauguration; for immigrants' rights; for democracy; against genocide in Gaza; for climate justice; for freedom of speech; for workers' rights; for reproductive rights; in support of DEI,0,Abortion
against President Trump's inauguration; for immigrants' rights; for democracy; against genocide in Gaza; for climate justice; for freedom of speech; for workers' rights; for reproductive rights; in support of DEI,0,Workers
in commemoration of Martin Luther King Jr.; for racial justice,0,Racial Justice
against President Trump's executive orders to deport immigrants; against ICE immigration sweeps in the Central Valley,0,Immigration
for immigrants' rights; against immigrant deportations and family separations,0,Immigration
against Donald Trump and the Republican Party's agenda; against racism; against police brutality; for immigrants' rights; for women's rights; for reproductive rights; for Palestinian liberation,0,Gaza
against Donald Trump and the Republican Party's agenda; against racism; against police brutality; for immigrants' rights; for women's rights; for reproductive rights; for Palestinian liberation,0,Abortion
against Donald Trump and the Republican Party's agenda; against racism; against police brutality; for immigrants' rights; for women's rights; for reproductive rights; for Palestinian liberation,0,Racial Justice
against new policy at Hutchinson Community College restricting protest activity on campus; against genocide in Gaza; against apartheid in Israel; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; for protecting and preserving MLK's vision; for freedom,0,Trump
against Donald Trump's agenda; Palestinian liberation; for community control of police; for democracy; for freedom of speech; for trans rights; for workers' rights,0,LGBTplus
against Donald Trump's agenda; Palestinian liberation; for community control of police; for democracy; for freedom of speech; for trans rights; for workers' rights,0,Gaza
against Donald Trump's agenda; Palestinian liberation; for community control of police; for democracy; for freedom of speech; for trans rights; for workers' rights,0,Workers
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; in commemoration of Martin Luther King Jr. Day; against racism; against poverty; against war,0,Environment
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; in commemoration of Martin Luther King Jr. Day; against racism; against poverty; against war,0,Gaza
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; in commemoration of Martin Luther King Jr. Day; against racism; against poverty; against war,0,Racial Justice
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; in commemoration of Martin Luther King Jr. Day; against racism; against poverty; against war,0,Workers
against Donald Trump; for women's rights,0,Abortion
against U.S. Secretary of State Anthony Blinken's complicity in genocide in Gaza; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; in commemoration of Martin Luther King Jr. Day,0,Trump
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for fair wages; against racism; for climate activism; for access to food; for democracy; for access to housing for homeless people; for Palestinian liberation; for Indigenous peoples' rights,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for fair wages; against racism; for climate activism; for access to food; for democracy; for access to housing for homeless people; for Palestinian liberation; for Indigenous peoples' rights,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for fair wages; against racism; for climate activism; for access to food; for democracy; for access to housing for homeless people; for Palestinian liberation; for Indigenous peoples' rights,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for fair wages; against racism; for climate activism; for access to food; for democracy; for access to housing for homeless people; for Palestinian liberation; for Indigenous peoples' rights,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for fair wages; against racism; for climate activism; for access to food; for democracy; for access to housing for homeless people; for Palestinian liberation; for Indigenous peoples' rights,0,Racial Justice
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for fair wages; against racism; for climate activism; for access to food; for democracy; for access to housing for homeless people; for Palestinian liberation; for Indigenous peoples' rights,0,Workers
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against racism; for Palestinian liberation; for immigrants' rights; for LGBTQ+ rights; for police accountability; for environmental justice; for housing justice; for workers' rights,0,LGBTplus
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against racism; for Palestinian liberation; for immigrants' rights; for LGBTQ+ rights; for police accountability; for environmental justice; for housing justice; for workers' rights,0,Environment
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against racism; for Palestinian liberation; for immigrants' rights; for LGBTQ+ rights; for police accountability; for environmental justice; for housing justice; for workers' rights,0,Gaza
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against racism; for Palestinian liberation; for immigrants' rights; for LGBTQ+ rights; for police accountability; for environmental justice; for housing justice; for workers' rights,0,Racial Justice
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against racism; for Palestinian liberation; for immigrants' rights; for LGBTQ+ rights; for police accountability; for environmental justice; for housing justice; for workers' rights,0,Workers
against Donald Trump's agenda; against police brutality; for community control of police; for immigrants' rights; for legalization for all undocumented immigrants; for Palestinian liberation; for ending U.S. aid to Israel; for workers' rights; for women's rights; for LGBTQ+ rights; for reproductive rights,0,Immigration
against Donald Trump's agenda; against police brutality; for community control of police; for immigrants' rights; for legalization for all undocumented immigrants; for Palestinian liberation; for ending U.S. aid to Israel; for workers' rights; for women's rights; for LGBTQ+ rights; for reproductive rights,0,LGBTplus
against Donald Trump's agenda; against police brutality; for community control of police; for immigrants' rights; for legalization for all undocumented immigrants; for Palestinian liberation; for ending U.S. aid to Israel; for workers' rights; for women's rights; for LGBTQ+ rights; for reproductive rights,0,Gaza
against Donald Trump's agenda; against police brutality; for community control of police; for immigrants' rights; for legalization for all undocumented immigrants; for Palestinian liberation; for ending U.S. aid to Israel; for workers' rights; for women's rights; for LGBTQ+ rights; for reproductive rights,0,Abortion
against Donald Trump's agenda; against police brutality; for community control of police; for immigrants' rights; for legalization for all undocumented immigrants; for Palestinian liberation; for ending U.S. aid to Israel; for workers' rights; for women's rights; for LGBTQ+ rights; for reproductive rights,0,Racial Justice
against Donald Trump's agenda; against police brutality; for community control of police; for immigrants' rights; for legalization for all undocumented immigrants; for Palestinian liberation; for ending U.S. aid to Israel; for workers' rights; for women's rights; for LGBTQ+ rights; for reproductive rights,0,Workers
against pro-Palestine rally; in solidarity with Israel; in celebration of release of hostages held by Hamas,0,Gaza
in commemoration of Martin Luther King Jr. Day; against fascism; against police brutality; against genocide in Gaza; against criminalization of homeless; against racism; against imperialism; for Palestinian liberation,0,Gaza
in commemoration of Martin Luther King Jr. Day; against fascism; against police brutality; against genocide in Gaza; against criminalization of homeless; against racism; against imperialism; for Palestinian liberation,0,Racial Justice
for ceasefire in Gaza; against U.S. Representative Judy Chu's support for Israel; for ending U.S. military aid to Israel; for Palestinian liberation,0,Gaza
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against white supremacy; against colonialism; against imperialism; against oppression of women and queer and trans people and migrants and unhoused people and addicts and prisoners; for environmental protection; for Palestinian liberation; for liberation for all,0,Environment
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against white supremacy; against colonialism; against imperialism; against oppression of women and queer and trans people and migrants and unhoused people and addicts and prisoners; for environmental protection; for Palestinian liberation; for liberation for all,0,Gaza
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against white supremacy; against colonialism; against imperialism; against oppression of women and queer and trans people and migrants and unhoused people and addicts and prisoners; for environmental protection; for Palestinian liberation; for liberation for all,0,Immigration
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against white supremacy; against colonialism; against imperialism; against oppression of women and queer and trans people and migrants and unhoused people and addicts and prisoners; for environmental protection; for Palestinian liberation; for liberation for all,0,LGBTplus
in commemoration of Martin Luther King Jr. Day; against racism; against police brutality,0,Racial Justice
against Donald Trump's agenda; for Palestinian liberation; against deporting migrants; for women's rights; for LGBTQ+ rights; for workers' rights; against police brutality,0,Gaza
against Donald Trump's agenda; for Palestinian liberation; against deporting migrants; for women's rights; for LGBTQ+ rights; for workers' rights; against police brutality,0,Abortion
against Donald Trump's agenda; for Palestinian liberation; against deporting migrants; for women's rights; for LGBTQ+ rights; for workers' rights; against police brutality,0,Racial Justice
against Donald Trump's agenda; for Palestinian liberation; against deporting migrants; for women's rights; for LGBTQ+ rights; for workers' rights; against police brutality,0,Workers
against Donald Trump's agenda; for Palestinian liberation; against deporting migrants; for women's rights; for LGBTQ+ rights; for workers' rights; against police brutality,0,Immigration
against Donald Trump's agenda; for Palestinian liberation; against deporting migrants; for women's rights; for LGBTQ+ rights; for workers' rights; against police brutality,0,LGBTplus
for climate justice,11,Environment
for Second Amendment rights; against state gun control legislation,0,Gun Control
against Donald Trump's agenda; against genocide in Gaza; for Palestinian liberation; against white supremacy; against deportations of immigrants; against imperialism,0,Gaza
against Donald Trump's agenda; against genocide in Gaza; for Palestinian liberation; against white supremacy; against deportations of immigrants; against imperialism,0,Immigration
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against police brutality; against anti-Black racism; for immigrants' rights,0,Immigration
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against police brutality; against anti-Black racism; for immigrants' rights,0,Racial Justice
in commemoration of Martin Luther King Jr. Day; for civil rights; for DEI; for racial justice; against the rollback of DEI in Utah public universities,0,Racial Justice
for divesting University of California San Diego from Israel; against genocide in Gaza; against punishment of pro-Palestinian student protesters; for Palestinian liberation,0,Gaza
in commemoration of Martin Luther King Jr. Day; against Donald Trump's inauguration; for immigrant rights; for civil rights,0,Immigration
against Donald Trump's agenda; for immigrants' rights; for extension of DACA and TPS; for women's rights; for reproductive rights; for LGBTQ+ rights,0,Abortion
against Donald Trump's agenda; for immigrants' rights; for extension of DACA and TPS; for women's rights; for reproductive rights; for LGBTQ+ rights,0,LGBTplus
against Donald Trump's agenda; for immigrants' rights; for extension of DACA and TPS; for women's rights; for reproductive rights; for LGBTQ+ rights,0,Immigration
against Donald Trump's agenda; for immigrants' rights; for women's rights; for LGBTQ+ rights; against police brutality; for community control over police; for Palestinian liberation,0,Immigration
against Donald Trump's agenda; for immigrants' rights; for women's rights; for LGBTQ+ rights; against police brutality; for community control over police; for Palestinian liberation,0,LGBTplus
against Donald Trump's agenda; for immigrants' rights; for women's rights; for LGBTQ+ rights; against police brutality; for community control over police; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; for immigrants' rights; for women's rights; for LGBTQ+ rights; against police brutality; for community control over police; for Palestinian liberation,0,Abortion
against Donald Trump's agenda; for immigrants' rights; for women's rights; for LGBTQ+ rights; against police brutality; for community control over police; for Palestinian liberation,0,Racial Justice
in commemoration of Martin Luther King Jr. Day; against Project 2025; against injustice; against war and militarism and genocide; against fascism; against Donald Trump; against attacks on migrants and workers and women and LGBTQIA+ people,0,LGBTplus
in commemoration of Martin Luther King Jr. Day; against Project 2025; against injustice; against war and militarism and genocide; against fascism; against Donald Trump; against attacks on migrants and workers and women and LGBTQIA+ people,0,Immigration
in commemoration of Martin Luther King Jr. Day; against Project 2025; against injustice; against war and militarism and genocide; against fascism; against Donald Trump; against attacks on migrants and workers and women and LGBTQIA+ people,0,Workers
against Donald Trump's agenda; against white supremacy; against U.S. imperialism; against capitalism; against genocide in Gaza,0,Gaza
against Donald Trump's inauguration as U.S. president; for immigrants' rights; for women's rights; for reproductive rights; for arms embargo on Israel; for Palestinian liberation; against attacks on trans people; against repression of student protests; for climate action; for ending use of fossil fuels; for full employment; for housing for all,0,Immigration
against Donald Trump's inauguration as U.S. president; for immigrants' rights; for women's rights; for reproductive rights; for arms embargo on Israel; for Palestinian liberation; against attacks on trans people; against repression of student protests; for climate action; for ending use of fossil fuels; for full employment; for housing for all,0,LGBTplus
against Donald Trump's inauguration as U.S. president; for immigrants' rights; for women's rights; for reproductive rights; for arms embargo on Israel; for Palestinian liberation; against attacks on trans people; against repression of student protests; for climate action; for ending use of fossil fuels; for full employment; for housing for all,0,Environment
against Donald Trump's inauguration as U.S. president; for immigrants' rights; for women's rights; for reproductive rights; for arms embargo on Israel; for Palestinian liberation; against attacks on trans people; against repression of student protests; for climate action; for ending use of fossil fuels; for full employment; for housing for all,0,Gaza
against Donald Trump's inauguration as U.S. president; for immigrants' rights; for women's rights; for reproductive rights; for arms embargo on Israel; for Palestinian liberation; against attacks on trans people; against repression of student protests; for climate action; for ending use of fossil fuels; for full employment; for housing for all,0,Abortion
against Donald Trump's agenda; for police accountability; against racism; for reproductive rights; for women's rights; for immigrants' rights; for LGBTQ+ rights,0,Abortion
against Donald Trump's agenda; for police accountability; against racism; for reproductive rights; for women's rights; for immigrants' rights; for LGBTQ+ rights,0,Racial Justice
against Donald Trump's agenda; for police accountability; against racism; for reproductive rights; for women's rights; for immigrants' rights; for LGBTQ+ rights,0,LGBTplus
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against police brutality; against racism; against immigrant deportations; for LGBTQ+ rights; in support of public sector labor unions; for women's rights; for reproductive rights,0,LGBTplus
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against police brutality; against racism; against immigrant deportations; for LGBTQ+ rights; in support of public sector labor unions; for women's rights; for reproductive rights,0,Abortion
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against police brutality; against racism; against immigrant deportations; for LGBTQ+ rights; in support of public sector labor unions; for women's rights; for reproductive rights,0,Racial Justice
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against police brutality; against racism; against immigrant deportations; for LGBTQ+ rights; in support of public sector labor unions; for women's rights; for reproductive rights,0,Workers
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for DC statehood,0,Environment
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for DC statehood,0,Gaza
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for DC statehood,0,Immigration
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for DC statehood,0,Workers
for patriotism; in celebration of Donald Trump's election as U.S. president; for deporting undocumented immigrants,0,Immigration
in commemoration of Martin Luther King Jr. Day; for DEI; for womenÃÂ¢ÃÂÃÂs rights; for LGBTQ rights; for immigration rights; for civil rights,0,Immigration
in commemoration of Martin Luther King Jr. Day; for DEI; for womenÃÂ¢ÃÂÃÂs rights; for LGBTQ rights; for immigration rights; for civil rights,0,LGBTplus
for Palestinian liberation; for collective safety and liberation for all; for religious values,0,Gaza
against Donald Trump's presidency; in remembrance of Tortuguita; against fascism; for Palestinian liberation; against imperialism,0,Gaza
against genocide in Gaza; against Israel's attacks on Lebanon; for Palestinian liberation,0,Gaza
in remembrance of Palestinians killed in Gaza; against Zionism; for Palestinian liberation,0,Gaza
against Governor Matt Meyers' support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against federal legislation that would facilitate immigrant deportations; against HR 29,0,Immigration
for divesting Dartmouth College from Israel; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; for immigrants' rights; for extension of DACA and TPS; against forced deportations; against the Laken Riley Act,0,Immigration
against inviting Former Israeli Prime Minister Naftali Bennett to speak at a Yale University event; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Fox News; against Donald Trump; for democracy,0,Trump
against Columbia University's repression of pro-Palestine student protest; for divesting Columbia University from Israel; for reinstating students suspended for their participation in Columbia's Gaza Solidarity Encampment; against genocide in Gaza; for Palestinian liberation,0,Gaza
against pro-Palestine demonstration; in solidarity with Israel,0,Gaza
for ceasefire in Gaza; for Palestinian liberation; against Israel,0,Gaza
in remembrance of Palestinians killed in Gaza; against Zionism; for divesting University of Oklahoma from Israel; for Palestinian liberation,0,Gaza
for dropping charges against pro-Palestine student protesters arrested at Arizona State University; for divesting Arizona State University from Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against inauguration of Donald Trump as U.S. president; against fascism; for health care; for housing; for education; against war; against repression; against genocide,0,Healthcare
in remembrance of Palestinians killed in Gaza; for Palestinian liberation,0,Gaza
for state legislation to save and restore the Great Salt Lake; for environmental conservation,0,Environment
for LGBTQ+ rights,325,LGBTplus
for Palestinian liberation; against the inauguration of President Donald Trump; in solidarity with Palestinians following the ceasefire agreement in Gaza; for UC San Diego divesting from Israel; against Palestinian gencide; for free speech,0,Gaza
for a just transition away from fossil fuels; for bold climate action,0,Environment
for a just transition away from fossil fuels; for bold climate action,0,LGBTplus
against Building Bridges event at Stony Brook University featuring only pro-Israel speakers; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump and the Republican Party; against racism,0,Racial Justice
against the alleged retaliation of two unionized employyes by the Field Museum; against worker oppression; for workers right to unionize; for a fair wage and contract for Field Museum employees,0,Workers
against Donald Trump's agenda; for immigrants' rights; for public education; for LGBTQ+ rights; for women's rights; for reproductive rights,0,Abortion
against Donald Trump's agenda; for immigrants' rights; for public education; for LGBTQ+ rights; for women's rights; for reproductive rights,0,LGBTplus
against Donald Trump's agenda; for immigrants' rights; for public education; for LGBTQ+ rights; for women's rights; for reproductive rights,0,Immigration
against crackdowns of street vending in NY; against ICE raids; for immigrant rights; against mass deportation,0,Immigration
against all wars; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump; against fascism; against mass deportations of immigrants,0,Immigration
for access to abortion; for Amendment 3,0,Abortion
for public transit; against cuts to union jobs and local bus service,0,Workers
for public transit; against cuts to union jobs and local bus service,0,LGBTplus
for divesting Tufts University from Israel; for academic boycott of Israel; against Tufts University's complicity in genocide in Gaza; for Palestinian liberation,0,Gaza
in solidarity with healthcare workers and hospitals in Gaza; against genocide in Gaza; for Palestinian liberation,0,Gaza
in solidarity with healthcare workers and hospitals in Gaza; against genocide in Gaza; for Palestinian liberation,0,Workers
in solidarity with healthcare workers and hospitals in Gaza; against genocide in Gaza; for Palestinian liberation,0,Healthcare
for action by Columbia University School of Social Work administration to divest from Israel; for cancelling all academic ties with Israeli universities and faculty; for ending repression of pro-Palestinian voices on campus; for setting up a recurring town hall for the student body to openly discuss these issues with CSSW administration,0,Gaza
for freeing Ahmad Sa'adat and all Palestinian political prisoners held by Israel; against the Palestinian Authority's collaboration with Israel; against Zionism; for Palestinian liberation,0,Gaza
for freeing Ahmad Sa'adat and all Palestinian political prisoners held by Israel; against the Palestinian Authority's collaboration with Israel; against Zionism; for Palestinian liberation,0,Workers
for reproductive freedom; for access to healthcare; for access to abortion; for the right to choose; for legislature that supports reproductive freedom; for the passing of the Dignity in Pregnancy Loss Bill,0,Abortion
for reproductive freedom; for access to healthcare; for access to abortion; for the right to choose; for legislature that supports reproductive freedom; for the passing of the Dignity in Pregnancy Loss Bill,0,Healthcare
in commemoration of anniversary of Roe v. Wade decision; for reproductive rights; for women's rights,0,Abortion
against genocide in Gaza; for Palestinian liberation; for Tufts University's divestment from Israel,0,Gaza
against Wells Fargo Bank's financing for Cop City police training center; against state violence; against militarization of police; against racism; for environmental conservation,0,Environment
against Wells Fargo Bank's financing for Cop City police training center; against state violence; against militarization of police; against racism; for environmental conservation,0,Racial Justice
against Massachusetts Institute of Technology's partnership with Elbit Systems through its Industrial Liaison Program; for Palestinian liberation,0,Gaza
for divesting University of Illinois at Chicago from Israel; against complicity in the occupation of Palestine; for Palestinian liberation,0,Gaza
for warning the community about the consequences of Trumps agenda on immigrants and nonimmigrants,1,Immigration
against proposed adoption of IHRA definition of antisemitism by Rutgers University; against Zionism; for Palestinian liberation,0,Gaza
against New York University's punishment of pro-Palestinian student protesters; for academic boycott of Israel; for divesting New York University from Israel; for Palestinian liberation,0,Gaza
against racist and anti-democratic state legislation; against state legislation that would criminalize pro-Palestinian activism; against state legislation that would prohibit public universities from divesting from any country not already sanctioned by the federal government; against state legislation that would expand state attorney general's power to investigate organizations and individuals under suspicion of terrorism; for Palestinian liberation,0,Gaza
in support of public school worker threatened with firing for speaking out against genocide in Gaza; for Palestinian liberation,0,Gaza
in support of public school worker threatened with firing for speaking out against genocide in Gaza; for Palestinian liberation,0,Workers
against Somerville's complicity in Israeli apartheid; for Palestinian liberation,0,Gaza
in remembrance of Palestinians killed in Gaza; against genocide in Gaza; for divesting Sarah Lawrence College from Israel; for Palestinian liberation,0,Gaza
against President Trump's immigrant deportations and family separations; in support of the immigrant community at Boston University,0,Immigration
against ICE raids and immigrant deportations,130,Immigration
against Israel's attacks on healthcare workers and hospitals in Gaza; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Israel's attacks on healthcare workers and hospitals in Gaza; against genocide in Gaza; for Palestinian liberation,0,Workers
against Israel's attacks on healthcare workers and hospitals in Gaza; against genocide in Gaza; for Palestinian liberation,0,Healthcare
against Donald Trump's agenda; against racism; against homophobia; for Palestinian liberation; for education; for women's rights; for reproductive rights; against deportations of immigrants,0,Gaza
against Donald Trump's agenda; against racism; against homophobia; for Palestinian liberation; for education; for women's rights; for reproductive rights; against deportations of immigrants,0,Abortion
against Donald Trump's agenda; against racism; against homophobia; for Palestinian liberation; for education; for women's rights; for reproductive rights; against deportations of immigrants,0,Racial Justice
in remembrance of Jordan Neely and Robert Brooks; against white supremacy; against colonialism; for Black and Palestinian solidarity; for Palestinian liberation,0,Gaza
against Donald Trump's agenda,72,Trump
in support of President Trump,2,Trump
against SB 678; against state legislation that would incentivize the development of nuclear power facilities; for climate justice; for clean energy,0,Environment
against the ending of labor and delivery services at Thedacare Medical Center in Waupaca,1,Workers
against HB 1650 and HB 2186 and HB 2529 and HB 2207; against state legislation that would facilitate repression of activism and prohibit public universities from divesting from Israel; against abuse of antiterrorism laws; for Palestinian liberation,0,Gaza
for Palestinian liberation; against President Trump; for immigrant rights; against racism; against imperialism,0,Gaza
for Palestinian liberation; against President Trump; for immigrant rights; against racism; against imperialism,0,Racial Justice
against immigrant deportations; against President Trump; against racism,0,Racial Justice
in remembrance of Palestinians killed in Gaza; against genocide in Gaza; for Palestinian liberation,0,Gaza
for peace in Ukraine; for abolishing NATO; against war with China; for defunding the U.S. military and funding social services; for environmental protection; for ending U.S. aid to Israel; for Palestinian liberation; against racism and bigotry; against U.S. intervention in Haiti; for eliminating AFRICOM,0,Environment
for peace in Ukraine; for abolishing NATO; against war with China; for defunding the U.S. military and funding social services; for environmental protection; for ending U.S. aid to Israel; for Palestinian liberation; against racism and bigotry; against U.S. intervention in Haiti; for eliminating AFRICOM,0,Gaza
for peace in Ukraine; for abolishing NATO; against war with China; for defunding the U.S. military and funding social services; for environmental protection; for ending U.S. aid to Israel; for Palestinian liberation; against racism and bigotry; against U.S. intervention in Haiti; for eliminating AFRICOM,0,Racial Justice
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for women's rights; for reproductive rights; for LGBTQ+ rights; against racism,0,LGBTplus
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for women's rights; for reproductive rights; for LGBTQ+ rights; against racism,0,Environment
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for women's rights; for reproductive rights; for LGBTQ+ rights; against racism,0,Gaza
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for women's rights; for reproductive rights; for LGBTQ+ rights; against racism,0,Abortion
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for women's rights; for reproductive rights; for LGBTQ+ rights; against racism,0,Racial Justice
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for women's rights; for reproductive rights; for LGBTQ+ rights; against racism,0,Workers
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; in commemoration of Martin Luther King Jr. Day,0,Environment
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; in commemoration of Martin Luther King Jr. Day,0,Gaza
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; in commemoration of Martin Luther King Jr. Day,0,Immigration
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; in commemoration of Martin Luther King Jr. Day,0,Workers
for Indigenous peoples' liberation; for Palestinian liberation,0,Gaza
against Donald Trump's immigration policies; for immigrants' rights,0,Immigration
against immigrant deportations and family separations; against ICE raids,0,Immigration
against Taglit Birthright's promotion of Zionism and apartheid in Israel; against genocide in Gaza; for arms embargo on Israel; for ending U.S. military aid to Israel; for Palestinian liberation,0,Gaza
for Palestinian liberation; against state legislation that would criminalize pro-Palestinian activism,0,Gaza
against the news media and film industry's misrepresentations and silencing of Palestinians; against genocide in Gaza; against Zionism; for Palestinian liberation,0,Gaza
for racial justice,15,Racial Justice
against racial justice vigil,1,Racial Justice
against immigrant deportations; for defending Philly's sanctuary-city status; for immigrants' rights,0,Immigration
against genocide in Gaza; for full divestment from Israel; for arms embargo on Israel; for Palestinian liberation,0,Gaza
against immigrant deportations; for immigrants' rights; against ICE raids,0,Immigration
"for Delta workers organizing for a union, against unfair scheduling practices, for job security and fair wages, against Delta's anti-union tactics, for workers' right to collective bargaining, against cuts to full-time schedules, for better health benefits for airline workers",1,Workers
in support of the immigrant community,1,Immigration
against immigrant deportations; for immigrants' rights,0,Immigration
for permanent ceasefire in Gaza; for humanitarian aid to Gaza; for full hostage exchange; for ending Israel's occupation; for diplomacy; for justice and equality and freedom for Israelis and Palestinians,0,Gaza
