Claim,Claim Count,Issues
against Trump; for immigrant rights; for workers rights; for education,0,"Immigration, Workers"
in solidarity with Ukraine; against President Trump's decision to halt aid to Ukraine,0,Trump
against Columbia University's invitation to former Israeli Prime Minister Naftali Bennett to speak on campus; in solidarity with Palestinians; for Palestinian liberation,0,Gaza
against Trump; against monarchy,0,Trump
against Trump; against Musk; against monarchy,0,Musk/DOGE
for Trump,0,Trump
against the trump administration; against DOGE; in commemoration of international women's day,0,Trump
against President Trump's recent cuts to Department of Education,0,Trump
against Trump; for Ukraine,0,Trump
against Trump; for democracy; for Ukraine; for Federal workers,0,Workers
in solidarity with federal workers; against Elon Musk; against the Trump administration;s federal spending cuts,0,"Musk/DOGE, Workers"
for higher pay for USC janitorial staff; for better healthcare for USC janitorial staff; for immigrant rights,0,"Healthcare, Immigration"
against Trump; against Musk; against the ADL; against crackdowns on Palestinian rights movement; for Palestinian liberation,0,"Gaza, Musk/DOGE"
against Portland PD harassment of protesters; against Portland PD levying fines against protesters; in solidarity with immigrants; against deportations; for Palestinian liberation,0,"Gaza, Immigration"
in support of NOAA workers; against the Trump administration's layoffs of federal workers; against DOGE,0,Workers
against President Trump's cuts to the Department of Education; for funding for education,0,Trump
"against the attacks on health care, data, jobs, and services; against the destruction of government and the economy for the benefit of Trump and his billionaire allies; for stopping the chaos and building an opposition movement against the looting of the country; against President Trump; against Elon Musk",0,"Healthcare, Musk/DOGE"
against Trump; for democracy,0,"Musk/DOGE, Trump"
against Ohio Senate Bill 1; for DEI,0,
for better pay for New York state corrections officers; for better working conditions for NY state corrections officers,0,
for safer conditions for incarcerated individuals in New York state; against solitary confinement; against violence against inmates; for prison reform,0,
against Trump; against Musk; against fascism,0,Musk/DOGE
against Trump; against DOGE; against Elon Musk's role in the government; for democracy; for a ceasefire in Ukraine,0,Musk/DOGE
against Trump,0,Trump
against Trump; for democracy; against Elon Musk; against DOGE,0,Musk/DOGE
against JD vance; in solidarity with Ukraine,0,
against federal worker layoffs; against tax cuts for the rich,0,Workers
for justice for Jakeem Williams,0,
against National park worker layoffs; against resource extraction on public park lands,0,Workers
against national park worker layoffs done by DOGE; against the end of D.E.I programs,0,Workers
against federal budget cuts for national parks; against Elon Musk,0,Musk/DOGE
against President Trump's mass layoffs of national parks workers,0,Workers
in solidarity with Ukraine; for supporting the Ukrainian President Volodymyr Zelenskyy after his heated exchange in the Oval Office,0,
against closing of Social Security administration offices by DOGE,0,
against the Trump administration's proposed budget cuts to the US Department of Education,0,Musk/DOGE
in solidarity with immigrant families; against President Trump's deportation policies,0,Immigration
against Trump; for democracy; against oligarchy,0,Trump
against Trump; for democracy; for the Constitution; in solidarity with Ukraine,0,Trump
against Trump; for democracy; against DOGE; against Musk,0,Musk/DOGE
against Trump; against Fascism; for democracy; against Elon Musk; against DOGE,0,Musk/DOGE
against Trump; for Constitution,0,Trump
against SB 89; for clean water; against polluting water; for environmental protection,0,Environment
against Trump; for democracy; against racism; against fascism,0,Racial Justice
against Trump; for Constitution; in solidarity with Ukraine,0,Trump
against President Trump; for democracy; in solidarity with Ukraine,0,Trump
for LGBTQ rights; for Trans rights,0,LGBTplus
against Trump; in solidarity with Palestine; in solidarity with Ukraine,0,Gaza
against genocide in Gaza; for Palestinian liberation; against President Trump's immigration policies; against the deporatation of immigrants,0,"Gaza, Immigration"
against Trump administratino education policies; for DEI,0,Trump
against Trump; in solidarity with Ukraine,0,Trump
against Trump; for justice; for democracy,0,Trump
against Trump; against dictatorship; for the Constitution,0,Trump
against the President Trump adminsitration; in solidarity with Ukraine; for democracy; for immigration rights,0,Immigration
against Trump; for democracy; for justice; for immigrant rights; for a ceasefire in Ukraine,0,Immigration
against several recent inmate deaths in New York prisons; against corrections officers abusing inmates; for inmate rights; for justice for abused or murdered inmates,0,
against Trump; for democracy; against dictatorship,0,Trump
against Trump; for democracy; in solidarity with Ukraine; against Elon Musk,0,Musk/DOGE
against President Trump; for democracy; for LGBTQ+ rights,0,LGBTplus
against Trump; against dictatorship; against Musk; against fascism; for the Constitution; in solidarity with Ukraine,0,Musk/DOGE
against Trump; for democracy; for immigration rights; for civil rights,0,"Immigration, Musk/DOGE"
against Trump; against Musk; for democracy,0,Musk/DOGE
for legalization for all undocumented migrants; against immigrant deportations; for women's rights; for reproductive rights; for Palestinian liberation,0,"Abortion, Gaza, Immigration"
against racism; against police brutality,0,Racial Justice
against U.S. Secretary of State Anthony Blinken's complicity in genocide in Gaza; for Palestinian liberation,0,Gaza
for Palestinian liberation; for ceasefire in Gaza; for ending U.S. aid to Israel; against genocide in Gaza,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom,0,"Abortion, Environment, Gun Control, Immigration, LGBTplus, Workers"
against Donald Trump's agenda; in commemoration of Martin Luther King Jr. Day,0,Trump
against the killing of Mario Sanchez by police; for holding accountable the officers involved in Sanchez's death,0,
in commemoration of Land Day; against genocide in Gaza; for ending US aid to Israel; for Palestinian liberation,0,Gaza
for LGBTQ rights; in solidarity with LGBTQ community,0,LGBTplus
against deportations; for immigrant rights,0,Immigration
in commemoration of Land Day; against genocide in Gaza; for Palestinian liberation; against proposed Trump administration's US takeover of Gaza; for divesting MN from Israel,0,Gaza
against  ICE detainment of a University of Minnesota graduate student; against detention of other students including Mahmoud Khalil and Rumeysa Ozturk; for protection of international workers; against ICE; against the Trump adminstration's policies,0,"Immigration, Workers"
in solidarity with Trans people; for Trans rights,0,LGBTplus
against ICE; against deporting immigrants; against state and local government cooperating with ICE,0,Immigration
for free speech; against us aid to israel; for an arms embargo against israel; for the release of mahmoud khalil,0,Gaza
against genocide in Gaza; for Palestinian liberation; against president Trump's attacks on first amendment rights,0,Gaza
against the killing of Mario Sanchez by police; for holding accountable the officers involved in Sanchez's killing,0,
against Elon Musk; against President Trump; against DOGE; for democracy; for boycotting Tesla; for causing reduction in Tesla stock value,0,Musk/DOGE
in commemoration of the anniversary of the 1960 Sharpeville Massacre in South Africa; against the Trump adminstration's  expulsion of the South African Ambassador to the U.S.; against racism; against Elon Musk; against genocide in Gaza,0,"Gaza, Musk/DOGE, Racial Justice"
against ICE; for Palestinian liberation; for the release of Mahmoud Khalil; Palestine flag;,0,Gaza
against genocide in Gaza; for ending U.S. aid to Israel; for Palestinian liberation; for an arms embargo against israel,0,Gaza
against George Washington University suspending Students for Justice in Palestine; for George Washington University to divest from Israel; for firing Joseph Pelzman,0,Gaza
against Medicaid cuts,0,Healthcare
"against privatization efforts or reorganizational mandates that would threaten the US Postal Service; for protecting the jobs of 640,000 USPS employees including 73,000 veterans; for upholding the universal service obligation of delivering mail and packages to nearly 169 million delivery points nationwide; against DOGE; against the Trump administration's policies",0,Trump
for divesting the University of California from Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Musk ; for democracy,0,Musk/DOGE
for the release of Mahmoud Khalil and Leqaa Korida; for free speech; for the designation of Toledo as a sanctuary city; against repression of students; against president Trump's policies,0,Trump
against the Trump adminstration's policies; against federal cuts; against layoffs ; against DOGE,0,Trump
for University of Pennsylvania divesting from Israel; for the University of Pennsylavnia protecting activists and non-citizens from arrest,0,Gaza
against national park worker layoffs; against federal cuts to national parks; for saving public lands; against DOGE; against the Trump adminstration's policies,0,Workers
against cuts to the United States Postal Service,0,
for Sen. Jon Ossoff's reelection,0,
against the trump administration; for immigrant rights; against mass deportations of immigrants; for democracy,0,Immigration
against national park worker layoffs; against federal cuts to national parks; for saving public lands; against DOGE; against the Trump adminstration's policies; against privatization,0,Workers
for Palestinian liberation; for the release; release of Mahmoud Khalil and Leqaa Kordia; for the desigation of Cincinnati as a sanctuary city; for freedom of speech; against the Trump adminstration's policies,0,Gaza
for the release of mahmoud khalil and leqaa kordia from ice custody; for ceasefire in gaza; for palestinian liberation; against the Trump adminstration's policies,0,Gaza
against Rep. Mark Messmer not holding a town hall nearly three months into his first term; against President Trump,0,Trump
against federal employee terminations; against layoffs affecting public service workers; against termination of experienced federal employees; for U.S. Rep. Mariannette Miller-Meeks to stand up for her constituents; against the Trump adminstration's policies,0,Workers
in commemoration of Martin Luther King Jr. Day; for equality for all; in celebration of diversity,0,
against government cuts; against President Trump; against Elon Musk; against DOGE; against the arrest of Mahmoud Khalil,0,Musk/DOGE
against potential cuts to Medicaid; against DOGE; against President Trump,0,Healthcare
"in solidarity with federal employees in Wisconsin; against federal workers' layoffs; against Elon Musk; against DOGE; against the Trump adminstration's policies; for the protection of critical programs like Social Security, Medicare and Medicaid; against MuskÃÂ¢ÃÂÃÂs attempts to buy the Wisconsin Supreme Court",0,"Healthcare, Musk/DOGE, Workers"
for democracy; against president Trump,0,Trump
for ceasefire in Gaza; for palestinian liberation; for the release of Mahmoud Khalil; against president Trump,0,Gaza
agaisnt layoff of federal workers,0,"Musk/DOGE, Workers"
against President Trump administration firing NOAA employees,0,Trump
in solidarity with students suspended for protesting in support of palestinian liberation,0,Gaza
against privatization of US Postal Service; against DOGE,0,Musk/DOGE
against deportations; against President Trump,0,"Immigration, Musk/DOGE"
in support of national park workers,0,Workers
for ceasefire in Gaza; for Palestinian liberation,0,Gaza
against Donald Trump; for women's rights,0,Abortion
against cuts to the social security administration,0,
against Trump Administration's move to ban TSA employees' collective bargaining rights,0,Musk/DOGE
against genocide in Gaza; for Palestinian liberation; for an arms embargo against Israel,0,Gaza
"against potential cuts to Social Security, Medicaid, and Medicare; for Rep. Hal Rogers standing up to Trump",0,Healthcare
against University of the Pacific hosting of Charlie Kirk; against white supremacy; against project 2025; against Turning Point USA hosting Pastor Junson Yoo,0,
for LBGTQ rights,0,
against genocide in Gaza; for ending US aid to Israel; against the detention of Mahmoud Khalil and other student activists; against president Trump; for ceasefire in gaza; for palestinian liberation; against Trump administration's support for Israel,0,Gaza
against defunding public education,0,
against pro-Palestine rally; for supporting Israel,0,Gaza
against proposed cuts to Medicaid; for Medicaid funding,0,Healthcare
against police violence; for police accountability,0,
against potential Medicaid cuts; for Rep. Dan Newhouse to vote against Medicaid cuts,0,Healthcare
against the privatization of the US Postal Service,0,Musk/DOGE
against President Trump's proposed privatization of the USPS,0,Trump
for stronger support for public education; against public education funding cuts,0,
against genocide in Gaza; against the detention of Mahmoud Khalil; for arms embargo on Israel; for ending US aid to Israel; for freeing all political prisoners; against the Trump adminstration's policies; for Palestinian liberation,0,Gaza
against potential Medicaid cuts,0,Healthcare
for ceasefire in Gaza; against genocide in Gaza; for Palestinian liberation; for arms embargo against Israel; against Maersk's business dealings with Israel,0,Gaza
for advocacy for people with disabilities their family and support services; for greater funding and access of public transportation; for reforms to the guardianship program; for universal changing stations in all public buildings,0,LGBTplus
against the Trump administration; against DOGE; against Rep. Andy Barr supporting Trump and DOGE; for democracy,0,Trump
for ceasefire in Gaza; against genocide in Gaza; for Palestinian liberation; for UCLA divesting from Israel,0,Gaza
against donald trump; in solidarity with immigrants; for free speech,0,Immigration
for a ceasefire in Gaza; against US support to Israel; for Palestinian liberation,0,Gaza
against President Trumps attempts to dismantle the department of education; for education funding,0,Trump
for arms embargo against israel; for ceasefire in gaza,0,Gaza
flight attendants for better contracts,0,
for immigrant rights; for DEI; against ICE,0,Immigration
for a fair contract with Valley Transportation Authority,0,LGBTplus
in solidarity with the Israeli hostages in Gaza,0,Gaza
against the detention of mahmoud khalil; against ice; against president trump,0,Musk/DOGE
against oligarchy; against President Trump; for democracy,0,Trump
against Congressman Mike Lawler,0,
against the Trump administration freezing funding for the University of Pennsylvania; against the University of Pennsylvania's compliance under the Trump adminstration,0,Trump
against privatization of US Postal Service; against cuts to USPS budget and other federal institutions,0,Musk/DOGE
against cuts to medicare and medicaid,0,Healthcare
against privatization of US Postal Service,0,Musk/DOGE
for the release of mahmoud khalil; for free speech; against president trump,0,Trump
against federal funding cuts to the Department of Veteran Affairs; against President Trump; against Elon Musk,0,Musk/DOGE
against Tump's goals of privitizing the USPS,0,
against Trump's potential move to shift control of the U.S. Postal Service to the Commerce Department,0,Trump
against genocide in Gaza; against President Trump; for Palestinian liberation,0,Gaza
against the privatization of the US Postal Service; against DOGE,0,Musk/DOGE
against Governor Little signing for House Bill 345; for medicaid,0,Healthcare
for the exonoration of Martin Sostre and Geraldine Pointer,0,
for the release mahmoud khalil; against US support for Israel; for an arms embargo against israel; for palestinian liberation,0,Gaza
for Palestinian liberation; for the release of Mahmoud Khalil and Leqaa Kordia; against ICE; against deportations; for free speech,0,"Gaza, Immigration"
against the Trump administration's use of force abroad; for Palestinian liberation; against genocide in Gaza; for the release of Mahmoud Khalil,0,Gaza
against cuts to education funding,0,
against privatization of the US Postal Service,0,Musk/DOGE
for justice for Katarina Louthain; against drunk driving,0,
for the release of mahmoud khalil and leqaa kordia from ice custody,0,
against the privatization of the US Postal Service; against funding cut to the US Postal Service,0,Musk/DOGE
for palestinian liberation; for an arms embargo against Israel; against US strikes on Yemen; for the release of Mahmoud Khalil,0,"Gaza, Workers"
against potential Medicaid cuts; for Rep. David Valadao to vote against GOP led budget proposal,0,Healthcare
against immigrants' deportations and family separations; against ICE; against President Trump's policies; for declaring Detroit a sanctuary city,0,Immigration
against Musk; against Trump; against DOGE; for democracy; for boycotting Tesla; for reduction in Tesla Stock Value; against any cuts to Social Security; against cutting federal workers and programs,0,"Musk/DOGE, Workers"
against Donald Trump's agenda; for public education; for LGBTQ+ rights; for women's rights; against union-busting; against police brutality; against genocide and war; for more funding for social services; for immigrants' rights,0,"Abortion, Immigration, LGBTplus, Racial Justice, Workers"
against Governor Ron DeSantis's plans for the upcoming legislative session; for legislation supporting the homeless; for increased school funding budget; against rising costs in healthcare,0,Healthcare
against passage of the SB 36 (Religious Freedom Restoration Act); for LGBTQ rights,0,LGBTplus
for free speech; for the release of Mahmoud Khalil and Leqaa Kordia,0,
for the resignation of Secretary of Defense Pete Hegseth,0,
against the privatization of the United States Postal Service,0,
against a performance by the Jerusalem Quartet; for Palestinian liberation,0,Gaza
against IDF soldiers entering their campus; in solidarity with Palestine,0,Gaza
against a pro-Israeli event held at the University of North Florida,0,Gaza
for free speech; for the release of Mahmoud Khalil; for Palestinian liberation,0,Gaza
against Elon Musk's role in implementing policies that undermine critical public services; against DOGE,0,Musk/DOGE
for divesting University of Louisville from Israel; for palestinian liberation; for the release of Mahmoud Khalil,0,Gaza
against U.S. Senator Mark Kelly's support for Israel; against genocide in Gaza; for Palestinian liberation; for the release of Mahmoud Khalil,0,Gaza
for protecting public lands,0,
in solidarity with immigrants and seafarers; in protest of the alleged wrongful death of AJ Kent MeraÃÂÃÂ±a; against the J.J. Ugland Shipping Company's failure to explain MeraÃÂÃÂ±a's death,0,Immigration
for the release of Mahmoud Khalil; against fascism; for democracy,0,
for Palestinian liberation; for Somerville's divestment from Israel,0,Gaza
against HB 122; against abortion bans in Georgia; against expanding the rights of an embryo; for reproductive freedom,0,Abortion
for cutting ties between the city of Brownsville and polluting corporations such as Rio Grande LNG and SpaceX,0,Musk/DOGE
for University of Virginia divesting from Israel; for Palestinian liberation; against president Trump dismantling DEI; for DEI; for free speech,0,Gaza
against Gov. Mike DeWine's proposed budget cuts for Cincinnati public schools; for fully funding public education,0,Musk/DOGE
against Segerstrom Center for the Arts hosting Israel Philharmonic Orchestra; for boycotting Israel; for Palestinian liberation,0,Gaza
against Rep Tony Wied holding a virtual town hall; for Wied addressing his constituents in person; for an in-person town hall; against the Trump administration;,0,Trump
against the potential closure of a Littleton Social Security office; against DOGE,0,
against Donald Trump; against racism; against attacks on immigrant workers; for ending all U.S. aid to Israel; for Palestinian liberation; against attacks on labor unions; for restoring abortion rights; against anti-LGBTQ+ bigotry; for returning land to Indigenous peoples; for climate action; for abolishing police and prisons; for abolishing the U.S. military; for safe consumption spaces for drug users,0,"Abortion, Environment, Gaza, LGBTplus, Racial Justice, Workers"
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for socialism,0,"Environment, Gaza, Immigration, Workers"
against Donald Trump's agenda; for workers' rights; for immigrant rights; for women's rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,"Abortion, Environment, Gaza, Immigration, Workers"
against genocide in Gaza; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; against racism; against xenophobia; for economic justice; for Palestinian liberation; for arms embargo on Israel; for ending all U.S. aid to Israel,0,"Gaza, Racial Justice"
against efforts to privatize and reduce the USPS workforce,0,
for Palestinian liberation; in solidarity with indigenous peoples,0,Gaza
in solidarity with immigrants; for immigrant rights; against ICE,0,Immigration
in solidarity with immigrants; for immigrant rights; against deportations,0,Immigration
for democracy and universal human rights; against President Trump,0,Trump
against expanded use of fossil fuels in Connecticut (especially methane gas); against the proposed expansion of the Brookfield Compressor Station and the expansion of natural gas pipeline infrastructure; for expansion of renewable energy sources in Connecticut,0,Environment
for Palestinian liberation; against the presence of Israel Defense Force personnel on campus,0,Gaza
for the release by ICE of Vanhhatdy; for immigrant rights; against deportations,0,Immigration
in celebration of Trans Day of Visibility; in solidarity with Trans people; for trans rights; for LGBTQ+ rights,0,LGBTplus
for Palestinian liberation; against genocide in Gaza; against forced starvation; for ending US aid to Israel,0,Gaza
for the release of Mahmoud Khalil,0,
against University of Alabama decision to remove parts of the non-discriminatory clause; for equity on the University of Alabama,0,
against President Trump adminstration's planned job cuts to the Department of Veteran Affairs,0,Trump
for republican senators to host town halls,0,
for the release of Mahmoud Khalil and other immigrants detained by ICE; for free speech; for democracy; against deportations; against ICE,0,Immigration
for Palestinian liberation; against L3Harris's business dealings with Israel,0,Gaza
in solidarity with indigenous women; against the disproportionate exposure to violence of indigenous communities,0,
against President Trump's funding cuts affecting public lands; for the protection of public lands and national monuments in Arizona; against mineral extraction on public and sacred lands,0,Trump
against president Trump,0,Trump
for Palestinian liberation; for the release of Mahmoud Khalil,0,Gaza
in solidarity with Trans people; for trans rights; for LGBTQ+ rights,0,LGBTplus
against ICE raids and immigrant deportations; for free speech; against President Trump; against ICE,0,Immigration
"against privatization efforts or reorganizational mandates that would threaten the US Postal Service; for protecting the jobs of 640,000 USPS employees including 73,000 veterans; for upholding the universal service obligation of delivering mail and packages to nearly 169 million delivery points nationwide; against DOGE; against the Trump administration's policies; for democracy",0,Musk/DOGE
for LGBTQ rights; against anti-LGBTQ legislation,0,LGBTplus
"against privatization efforts or reorganizational mandates that would threaten the US Postal Service; for protecting the jobs of 640,000 USPS employees including 73,000 veterans; for upholding the universal service obligation of delivering mail and packages to nearly 169 million delivery points nationwide; against DOGE; against the Trump administration's policies; in support of the Support Our Letter Carriers Act bill in the US Congress",0,Trump
in remembrance of Palestinian children killed in Gaza; against genocide in Gaza; against Israeli occupation and apartheid; for Palestinian liberation; for democracy; for the release of Mahmoud Khalil,0,Gaza
in solidarity with immigrants; against President Trump; against deportations,0,Immigration
count video,0,
for Palestinian liberation; against the Israel Philharmonic Orchestra's performance at Davies Symphony Hall,0,Gaza
for the release of Badar Khan Suri; for Georgetown University's divestment from Israel; for free speech; for the removal of ICE from campuses,0,"Gaza, Immigration"
against postal workers' rallies; for President Trump's privatization plans for the USPS,0,Workers
against the deportation of Jeanette Vizguerra,0,Immigration
"for divesting the University of  Minnesota from Israel; for diversity, equity, and inclusion at the University of Minnesota; against any cooperation of the University of Minnesota with ICE; for the release of Mahmoud Khalil and Leqaa Kordia; for Palestinian liberation",0,Gaza
against President Trump's funding cuts to Columbia University; against ColumbiaÃÂ¢ÃÂÃÂs conciliatory response; for resisting President Trump's authoritarian agenda; for academic freedom,0,Trump
against the President Trump administration's threats to Environmental Protection Agency workers; against DOGE,0,"Environment, Workers"
for Palestinian liberation; for the release of Mahmoud Khalil; against ICE,0,Gaza
"against the Trump adminstration's immigration policies; against ICE deportations; against a new state bill in Tennessee that, if approved, would allow school districts to deny enrollment to students who are undocumented immigrants",0,Immigration
against federal employee terminations; against layoffs affecting public service workers; for U.S. Rep. Blake Mooreto stand up for his constituents; against the Trump adminstration's policies; against President Trump; against Elon Musk; against DOGE,0,"Musk/DOGE, Workers"
for ceasefire in Gaza; for Palestinian liberation; against genocide in Gaza; for arms embargo against Israel; for free speech,0,Gaza
against president Trump; for ceasefire in Gaza; against US support to Israel; for an arms embargo on Israel,0,Gaza
for ceasefire in Gaza; for Palestinian liberation; for the release of Mahmoud Khalil; against president Trump,0,Gaza
against genocide in Gaza; for ending US aid to Israel; for Palestinian liberation,0,Gaza
against president Trump; against DOGE; against federal funding cuts; for democracy,0,Musk/DOGE
for Rep. Blake Moore to oppose Elon musk's federal cuts,0,Musk/DOGE
against genocide in Gaza; for arms embargo on Israel; for peace; for Palestinian liberation,0,Gaza
"in celebration of the life and legacy of CÃÂÃÂ©sar ChÃÂÃÂ¡vez; for social justice; for immigrants' rights; for workers' rights; for equality, dignity and respect for all marginalized communities",0,"Immigration, Workers"
for Palestinian liberation; for immigrant rights,0,"Gaza, Immigration"
in solidarity with immigrant women; in solidarity with trans women; in solidarity with black women; for women's rights,0,"Abortion, Immigration, LGBTplus"
against deportations; against ICE; for immigrant rights; in support of South East Asian immigrants; against the deportation of Rasha Alawieh,0,Immigration
against President Trump and Elon Musk mass firing federal employees; against DOGE; against cuts to Social Security,0,Musk/DOGE
against University of Iowa not paying its graduate student workers fair wages; against the current graduate students workers contract with the university; for University of Iowa meeting its graduate student workers demands,0,Workers
against the potential elimination of 80000 jobs nationwide at the Department of Veteran Affairs,0,
"for the inclusion of a $536,000 budget allocation for climate education in the final FY 26 New York State budget",0,Environment
against Musk; against Trump; against DOGE; for democracy; for boycotting Tesla; for reduction in Tesla Stock Value,0,Musk/DOGE
against Senator John Thune's failed attempts to set up a town hall meeting; against President Trump adminstration's employee and budget cuts,0,Musk/DOGE
"in support of Senate Joint Resolution 28 (Oregon Green Amendment) amending the Oregon constitution to establish a fundamental right to a clean, safe and healthy environment",0,Environment
for Palestinian liberation; in protest of tahe Israeli Philharmonic Orchestra's performance at the Segerstrom Center for the Arts,0,Gaza
against the detention of Rumeysa Ozturk; against deportations; against President Trump; against ICE; for freedom of expression; for civil liberties,0,Immigration
against St. Francis' policy 606.5 that bans books from schools; for St. Francis students having a say in which books are removed from the school,0,
for Palestinian liberation; against the sale of land in Palestine to settlers,0,Gaza
against the dismantment of the US Department of Education; against President Trump; against DOGE,0,Musk/DOGE
"against privatization efforts or reorganizational mandates that would threaten the US Postal Service; for protecting the jobs of 640,000 USPS employees including 73,000 veterans; for upholding the universal service obligation of delivering mail and packages to nearly 169 million delivery points nationwide; against DOGE; against the Trump administration's policiesÃÂÃÂ ",0,"Musk/DOGE, Trump"
against widespread federal employee terminations; against unexpected firings without justification; against layoffs affecting public service workers; against termination of experienced federal employees; against loss of consumer protection attorneys; against negative impact on local economies; for appealing illegal firings; for speaking to lawmakers for support; for rallying federal employees to fight job cuts; against va layoffs affecting veterans' care; for urging congress to intervene; for organizing future protests,0,Workers
for Palestinian liberation; for divestment of University of North Carolina from Israel; against the presence of Israel Defense Force personnel on campus,0,Gaza
against cuts to the Environmental Protection Agency's budget and workforce; against President Trump's proposed deregulations for oil and gas; for democracy,0,"Environment, Musk/DOGE"
against the detention of activist Alfredo ÃÂ¢ÃÂÃÂLeloÃÂ¢ÃÂÃÂ Juarez Zeferino; for free speech; for immigrant rights,0,Immigration
for Palestinian liberation; against Houston City's decision to buy Israeli bonds; against Councilwoman Peck's support for Israel,0,Gaza
against ICE; against cuts to courses and funding for the California State University system; for divestment of CSU funding from Israel; against tuition increases at CSU,0,Gaza
for Palestinian liberation; against the killing of civilians in Gaza by Israel,0,Gaza
against cuts to Veterans affairs,0,
for Palestinian liberation; against talks given by members of the Israel Defense Force; against genocide in Gaza; for free speech; for the release of Mahmoud Khalil;,0,Gaza
against US Supreme Court candidate Judge Brad Schimel; against Elon MUsk interfering in elections; against Elon Musk offering voters money for signing a petition of support for Brad Schimel; for democracy,0,Musk/DOGE
for LGBTQ rights; against anti-LGBTQ legislation in Florida,0,LGBTplus
for the University of Michigan divesting from Israel; for Palestinian liberation; for ceasefire in Gaza; against mass deportation of immigrants; against ICE on school campuses,0,"Gaza, Immigration"
against the closure of the Social Security Administration building,0,
"in solidarity with LGBTQ community; for expanding the Lorena Borjas Transgender Fund to $8 Million; for creating a gender affirming care fund at $50 million; for ensuring funding for HIV+ assistance, mental health services, youth development, and housing",0,LGBTplus
against President Trump's cuts to Department of Education; against proposed teacher layoffs for Oakland School District; for funding for education,0,Trump
for Trans rights; for LGBTQ+ rights,0,LGBTplus
against the Trump administration; against Elon Musk's involvement in the government; agaisnt DOGE; against the Trump administration's recent cuts to federal jobs,0,Musk/DOGE
for immigrant rights; in solidarity with immigrants,0,Immigration
against Governor Newsom's order requiring state employees to work in person rather than remotely; for hire pay for California state workers,0,Workers
against Rep. Buddy Carter not representing his constituents; for Buddy Carter holding a townhall; against President Trump,0,Trump
against cuts to Medicaid; for access to healthcare,0,"Healthcare, Musk/DOGE"
against the proposed $1 billion cut to Washington DC's fiscal budget; against proposed cuts to social services,0,
against cuts to Medicad; against the Trump adminstration's policies,0,Musk/DOGE
for climate change awareness,0,Environment
against ICE; against Department of Homeland Security; in solidarity with mahmoud khalil; for divestment of UMASS from Israel; for palestinian liberation,0,Gaza
against President Trump; against Representative Chuck Edwards; against tariffs; for democracy; for palestinian liberation,0,Gaza
against L3Harris's complicity in genocide in Gaza; against weapons manufacturing; for Palestinian liberation;,0,Gaza
against ICE; in solidarity with immigrants,0,Immigration
for the New York For All Act; against NY corporations working with ICE; for immigrant rights,0,Immigration
for Palestinian liberation; aginst Senate Bill 352,0,Gaza
against the killing of James Oakley by Vallejo City workers; against homeless sweeps,0,Workers
against discrimination of LGBTQ students by Walla Walla university administration,0,LGBTplus
against the closure of the Department of Education,0,
against the Trump administration; for democracy,0,Trump
for trans rights; against Bill HB267; for LGBTQ+ rights,0,LGBTplus
against the detention and deportation of Mahmoud Khalil; for freedeom of speech; against the Trump adminstration's policies; for Palestinian liberation,0,"Gaza, Immigration"
against Trump's proposed plan to privatize the United States Postal Services; against potential cuts to the USPS; against potential price increases for USPS customers,0,Trump
against cuts to Medicaid funding; for more access to affordable healthcare for Alaskans,0,Healthcare
against the state of Illinois purchasing a new $10 million in Israeli bonds; for Palestinian liberation; for the state of Illinois divesting from Israel,0,Gaza
against the detention and arrest of student protesters; against the detention and deportation of Mahmoud Khalil; for Palestinian liberation; against President Trump; for freedom of speech; for academic freedom,0,"Gaza, Immigration"
against Musk; against Trump; against DOGE; for democracy; for boycotting Tesla; for causing reduction in Tesla stock value; against climate change; against DEI; for public education,0,"Environment, Musk/DOGE"
against unequal treatment under the law; for LGBTQ+ rights; against the trump adminstration's policies,0,LGBTplus
against layoffs within the department of veteran affairs,0,
against the Trump administration; against DOGE,0,Trump
against mass deportation of immigrants and refugees; against the the arrest of Mahmoud Khalil; against the Trump adminstration's policies; for immigrants' rights,0,Immigration
against the detention and deportation of mahmoud khalil; for free speech; against deportations of immigrants; for Palestinian liberation,0,"Gaza, Immigration"
against the Trump adminstration's federal funding cuts; against DOGE; in support of federal workers,0,"Musk/DOGE, Workers"
for democracy; against trump; in solidarity with LGBTQ community,0,"LGBTplus, Musk/DOGE"
for the release of Mahmoud Khalil; for democracy; for freedom of speech; against President Trump; against ICE; against DHS,0,Trump
against the detention and deportation of mahmoud khalil; for free speech; against preisdent Trump; against genocide in Gaza; for Palestinian liberation,0,"Gaza, Immigration"
"against Elon MuskÃÂ¢ÃÂÃÂs and President TrumpÃÂ¢ÃÂÃÂs mass federal layoffs; against proposed cuts to Medicaid, housing, food assistance, and other vital programs, against the Trump adminstration's policies",0,"Healthcare, Musk/DOGE"
